序号,题干,选项 A,选项 B,选项 C,选项  D,选项 E,选项 F,选项 G,选项 H,解析,分数,答案,标签
1,家居分为：,门窗，地板，客厅，卧室，厨卫，家居零售,,,,,,,,,,ABCDEFGH,x26-家居
2,江山欧派,木门,浙江-衢州,木门市占率A股第1，,,,,,,,,ABCDEFGH,x26-家居
3,梦天家居,木门,浙江-嘉兴,木门市占率A股第2，,,,,,,,,ABCDEFGH,x26-家居
4,欧派家居,木门,广州,木门市占率A股第3，,,,,,,,,ABCDEFGH,x26-家居
5,索菲亚,木门,广州,木门市占率A股第4，,,,,,,,,ABCDEFGH,x26-家居
6,顶固集创-300,木门,广东-中山,木门市占率A股第5，,,,,,,,,ABCDEFGH,x26-家居
7,兔宝宝,木门,浙江-杭州,木门市占率A股第6，,,,,,,,,ABCDEFGH,x26-家居
8,王力安防,门锁,浙江-金华,门锁营收A股第1--20亿,,,,,,,,ABCDEFGH,x26-家居
9,森鹰窗业-300,窗户,黑龙江-哈尔滨,节能门窗第一股，20年深耕铝包木,,,,,,,,ABCDEFGH,x26-家居
10,罗普斯金,窗户,江苏-苏州,门窗,,,,,,,,ABCDEFGH,x26-家居
11,联翔股份,窗户,江苏-嘉兴,无缝墙布和窗帘产品相关营收1.56亿,,,,,,,,ABCDEFGH,x26-家居
12,大亚圣象,木地板,江苏-镇江,木地板市占率A股第一，11%,,,,,,,,ABCDEFGH,x26-家居
13,德尔未来,木地板,江苏-苏州,木地板市占率A股第二，2%,,,,,,,,ABCDEFGH,x26-家居
14,菲林格尔,木地板,上海,,,,,,,,,ABCDEFGH,x26-家居
15,丰林集团,木地板,广西-南宁,公司人造板营收22亿,,,,,,,,ABCDEFGH,x26-家居
16,海象新材,PVC地板,浙江-嘉兴,PVC地板营收A股第一，15亿,,,,,,,,ABCDEFGH,x26-家居
17,爱丽家居-在美国有工厂,PVC地板,江苏-苏州,悬浮地板龙头,,,,,,,,ABCDEFGH,x26-家居
18,美新科技-300,PVC地板,广东-惠州,户外地板,,,,,,,,ABCDEFGH,x26-家居
19,天振股份-300,PVC地板,浙江-湖州,,,,,,,,,ABCDEFGH,x26-家居
20,永艺股份,办公桌椅,浙江-湖州,,,,,,,,,ABCDEFGH,x26-家居
21,恒林股份,办公桌椅,浙江-湖州,,,,,,,,,ABCDEFGH,x26-家居
22,通达创智,办公桌椅,福建-厦门,,,,,,,,,ABCDEFGH,x26-家居
23,顾家家居,沙发,浙江-杭州,沙发市占率A股第一,,,,,,,,ABCDEFGH,x26-家居
24,众望布艺,沙发,浙江-杭州,沙发布艺产销A股第一，唯一沙发布艺上市企业,,,,,,,,ABCDEFGH,x26-家居
25,美克家居,沙发,江西-赣州,家居营收41亿,,,,,,,,ABCDEFGH,x26-家居
26,中源家居,沙发,浙江-湖州,沙发营收7.亿,,,,,,,,ABCDEFGH,x26-家居
27,曲美家居,沙发,北京-顺义,家居产品营收39亿,,,,,,,,ABCDEFGH,x26-家居
28,欧派家居,衣橱柜,广州,定制家居市占率A股第一,,,,,,,,ABCDEFGH,x26-家居
29,索菲亚,衣橱柜,广州,,,,,,,,,ABCDEFGH,x26-家居
30,尚品宅配-300,衣橱柜,广州,,,,,,,,,ABCDEFGH,x26-家居
31,志邦家居,衣橱柜,安徽-合肥,,,,,,,,,ABCDEFGH,x26-家居
